2009-09,2010-03,2012-01,2012-11,2014-04,2009-06,2009-08,2010-06,2010-08,2010-10,2011-06,2011-07,2011-10,2012-03,2012-07,2012-09,2013-05,2013-09,2009-11,2011-03,2011-11,2011-12,2013-01,2013-12,2014-05,2009-07,2009-12,2010-01,2010-05,2010-07,2010-11,2010-12,2011-01,2011-09,2013-04,2013-06,2013-07,2014-07,2009-02,2009-03,2009-10,2010-04,2011-02,2011-04,2012-08,2012-12,2013-03,2014-01,2014-06,2010-09,2011-05,2012-04,2012-10,2013-08,2013-10,2013-11,2014-03,2009-05,2012-06,2011-08,2012-05,2012-02,2013-02,2014-02,2010-02,2009-04,2009-01,plz,lat,lon
,,35.43,5.0,,20.2,,10.85,,,592.68,219.3,,139.59,,,,,,,,71.53,,,10.92,,,,,39.62,,,,32.9,,,,140.0,,,13.92,16.6,,,8.74,,,,29.07,,678.0,48.0,8.74,,98.1,,,,35.43,,,,,,,,,52068,6.126,50.78
94.77,126.4,45.1,127.12,8.16,48.84,296.58,1005.13,236.07,40.75,126.22,228.92,96.98,263.33,5.66,12.03,22.72,22.5,7.93,43.22,269.34,694.0,44.02,42.36,14.75,29.82,512.48,29.7,162.95,301.18,27.2,1427.8,66.96,111.79,26.04,27.38,37.02,14.03,,7.56,194.04,178.9,27.0,15.55,56.04,1057.15,65.56,36.22,11.0,106.55,34.81,211.3,421.98,78.14,13.95,,28.42,,6.24,33.5,38.56,67.88,22.28,,112.08,,,46446,6.248,51.85
,36.06,16.98,17.99,,7.04,,32.44,,,8.64,49.09,16.38,59.68,,4.56,8.2,6.24,56.5,5.64,2.14,119.22,16.06,,,,12.79,,15.05,3.6,8.14,14.82,9.43,17.05,3.8,37.51,8.71,,,,,27.15,,4.07,91.77,21.13,4.66,4.9,1.44,31.62,42.97,9.36,,16.14,7.2,14.94,3.5,,21.43,13.7,9.84,8.4,4.16,4.6,,,7.41,52080,6.16,50.788
,23.76,54.02,92.67,,,,73.95,18.45,91.71,21.62,52.9,36.08,54.72,11.28,,26.4,14.04,,,40.0,118.55,,,,23.78,63.74,168.6,17.58,80.29,39.98,4156.6,10.4,64.04,7.6,17.18,5.0,,,,34.38,,17.28,,26.13,,29.84,,,134.51,,,,9.88,15.64,68.02,,,76.37,64.88,16.72,20.21,13.2,,28.05,,,54689,6.178,50.062
9.6,85.32,54.42,42.1,,42.66,46.77,349.09,12.54,95.54,39.67,226.15,51.49,771.07,123.82,469.55,,,73.05,14.28,156.06,912.52,22.43,16.05,,25.29,360.34,200.75,6.3,498.36,,299.97,36.39,50.3,367.11,,90.66,9.9,11.12,,14.32,207.34,4.05,,448.45,10.88,134.32,17.23,,191.87,66.59,78.98,16.44,6.5,9.93,,14.12,84.76,147.63,224.1,,26.04,37.75,6.0,,145.89,,47551,6.207,51.758
13.65,3.7,9.66,,147.9,,3.8,9.0,,53.98,24.95,44.27,10.69,83.33,20.54,9.75,4.68,41.82,31.04,4.56,51.12,106.76,22.56,11.08,3.92,,22.52,,13.5,22.84,27.97,8.36,,5.8,13.15,19.52,6.0,17.88,11.61,,2.34,55.76,,9.84,10.25,43.67,26.58,,35.51,15.69,80.98,,29.86,21.65,,10.44,12.55,97.88,18.32,,53.36,4.07,14.0,,,,,52078,6.161,50.757
3.24,9.94,24.92,48.46,5.2,52.88,33.66,400.22,25.0,7.82,95.43,,91.51,74.76,18.03,139.19,96.31,10.26,63.51,33.12,405.18,99.16,24.7,3.8,,36.02,139.86,24.24,34.18,,60.59,25.62,,10.26,56.4,49.75,33.58,97.15,,,37.86,39.96,21.66,15.72,19.35,50.68,20.21,5.1,18.1,8.2,38.14,26.76,67.24,53.24,23.39,10.0,42.82,9.22,173.38,26.24,12.0,31.96,29.05,50.84,12.84,14.04,,52477,6.176,50.869
,,,,,,,23.2,,,24.95,39.3,,33.0,,,,,,,2.3,6.5,,8.96,,,,,19.36,14.84,16.4,,,,9.2,,,,,,,,6.72,,,,,,29.16,15.18,,,52.6,,,,,,,24.08,,,,,,,,54617,6.165,50.145
24.33,34.38,81.29,124.45,9.94,10.6,74.13,347.63,42.09,10.89,326.52,417.4,24.25,358.58,21.13,654.32,60.73,53.79,77.83,166.75,136.8,527.07,39.07,116.13,79.04,83.52,369.51,11.44,329.08,41.37,119.8,517.6,,57.84,74.34,90.21,117.82,64.28,15.84,,333.3,47.53,38.1,48.96,51.98,88.15,46.68,164.1,26.41,148.92,49.56,142.0,98.16,68.57,134.42,53.38,42.76,56.59,102.59,36.23,102.49,74.59,62.26,26.9,17.64,73.23,,41844,6.25,51.143
68.37,7.4,37.28,60.72,26.96,34.02,28.76,358.77,5.4,4.32,268.03,40.25,189.38,140.12,47.39,38.95,32.05,67.39,42.99,38.3,242.86,647.72,6.0,48.47,17.22,78.8,1273.7,,15.38,196.2,24.38,105.64,27.99,62.85,,5.75,22.75,19.88,,14.73,26.44,93.27,38.83,2.58,8.78,20.28,,9.44,,119.32,9.65,5.32,34.94,9.07,223.5,68.0,163.73,30.1,14.58,25.21,15.12,7.28,16.17,6.36,,28.8,,52499,6.185,50.918
338.98,85.76,14.25,67.74,35.65,83.18,34.56,887.44,30.14,8.68,103.56,71.43,44.3,463.12,380.62,104.2,123.23,36.61,70.2,8.46,117.3,1237.73,59.82,,25.46,53.26,440.16,,442.0,32.44,50.68,247.4,,54.16,38.76,60.68,97.11,31.74,,25.72,74.29,215.95,,127.64,45.38,35.54,37.55,61.14,55.98,92.48,83.58,42.21,139.57,5.64,49.26,188.54,6.6,40.89,98.07,61.89,55.19,90.23,16.95,32.24,23.01,44.0,,41836,6.231,51.043
196.69,279.54,26.86,64.34,20.74,78.76,341.68,1282.98,85.28,144.74,485.07,214.42,936.78,1387.85,25.2,127.76,99.9,26.06,858.68,60.85,370.89,1528.64,68.65,34.24,157.0,311.17,852.11,161.59,722.76,175.05,102.12,331.31,90.38,181.65,74.02,74.07,147.89,12.1,10.34,21.72,383.42,387.12,8.22,62.23,67.78,43.77,97.08,24.22,123.77,817.66,261.95,3.6,123.38,71.17,40.38,65.71,25.67,46.39,451.1,121.7,118.8,54.18,99.76,9.25,161.62,24.17,14.29,41334,6.25,51.316
49.86,47.08,233.96,27.7,,,57.01,671.19,45.64,83.51,99.37,142.63,,384.27,55.0,18.72,,,381.69,,152.15,163.4,,21.25,,36.8,280.06,197.74,209.64,39.48,2.88,35.0,361.89,42.93,11.5,,66.52,,,,241.86,54.94,7.75,47.92,,21.45,,82.56,,37.89,92.96,5.76,21.57,,,7.65,,,8.8,48.14,29.9,13.0,41.88,,,12.3,,54673,6.26,50.016
,59.87,67.8,,5.2,47.4,,622.31,224.34,64.18,133.14,63.85,17.9,184.18,36.02,11.1,29.44,,162.78,,105.99,323.43,46.17,,,17.1,396.05,48.81,72.29,361.33,,69.43,,37.21,59.39,43.29,160.56,,,,159.1,149.51,,18.36,,,41.88,,,64.68,,146.44,18.2,6.24,145.32,19.0,,11.88,12.0,378.84,28.8,,,,,,,54619,6.236,50.134
53.72,87.76,28.31,7.41,,12.9,,420.3,6.84,105.62,58.12,10.14,9.69,162.08,,,31.26,,31.86,,84.74,589.1,25.0,6.86,,51.8,46.38,,617.54,,56.88,49.8,,,5.64,57.0,,,,,9.44,47.84,,,9.88,6.58,,,,,,,139.58,9.31,9.12,,,,193.92,,,,15.0,,,20.52,,47624,6.199,51.551
