2009-9,2010-3,2012-1,2012-11,2014-4,2009-6,2009-8,2010-6,2010-8,2010-10,2011-6,2011-7,2011-10,2012-3,2012-7,2012-9,2013-5,2013-9,2009-11,2011-3,2011-11,2011-12,2013-1,2013-12,2014-5,2009-7,2009-12,2010-1,2010-5,2010-7,2010-11,2010-12,2011-1,2011-9,2013-4,2013-6,2013-7,2014-7,2009-2,2009-3,2009-10,2010-4,2011-2,2011-4,2012-8,2012-12,2013-3,2014-1,2014-6,2010-9,2011-5,2012-4,2012-10,2013-8,2013-10,2013-11,2014-3,2009-5,2012-6,2011-8,2012-5,2012-2,2013-2,2014-2,2010-2,2009-4,2009-1,plz,lat,lon
94.77,126.4,45.1,127.12,8.16,48.84,296.578,1005.134,236.07000000000002,40.75,126.22,228.91999999999996,96.985,263.33,5.655,12.030000000000001,22.725,22.5,7.93,43.22,269.34000000000003,694.0000000000001,44.02,42.365,14.75,29.823,512.48,29.7,162.95,301.185,27.199999999999996,1427.8,66.96,111.79,26.04,27.384,37.015,14.03,,7.56,194.04000000000002,178.90000000000003,27.0,15.55,56.04,1057.15,65.56,36.225,11.0,106.552,34.81,211.30000000000004,421.98499999999996,78.13999999999999,13.95,,28.42,,6.24,33.5,38.555,67.88,22.28,,112.08,,,46446,6.248,51.85
,36.05500000000001,16.975,17.990000000000002,,7.04,,32.445,,,8.64,49.09,16.38,59.68,,4.56,8.2,6.24,56.5,5.64,2.145,119.22000000000001,16.060000000000002,,,,12.79,,15.05,3.6,8.14,14.82,9.43,17.05,3.8,37.51,8.71,,,,,27.150000000000002,,4.07,91.77,21.130000000000003,4.665,4.9,1.44,31.619999999999997,42.97,9.36,,16.14,7.2,14.94,3.5,,21.43,13.7,9.84,8.4,4.16,4.6,,,7.41,52080,6.16,50.788
,23.76,54.025,92.67,,,,73.95,18.45,91.71000000000001,21.62,52.9,36.08,54.72,11.28,,26.4,14.04,,,40.0,118.55000000000001,,,,23.775,63.739999999999995,168.6,17.58,80.29,39.980000000000004,4156.6,10.4,64.035,7.6,17.18,5.0,,,,34.38,,17.28,,26.13,,29.84,,,134.51,,,,9.88,15.64,68.02000000000001,,,76.37,64.88,16.72,20.21,13.2,,28.05,,,54689,6.178,50.062
9.6,85.32000000000001,54.42,42.1,,42.66,46.774,349.089,12.54,95.543,39.675,226.15000000000003,51.489999999999995,771.0699999999998,123.82,469.54999999999995,,,73.052,14.280000000000001,156.06,912.5200000000002,22.43,16.05,,25.29,360.33500000000004,200.75,6.3,498.362,,299.96999999999997,36.39,50.3,367.11,,90.66,9.9,11.115,,14.325,207.34000000000003,4.05,,448.44500000000005,10.885,134.32,17.23,,191.87,66.59,78.98,16.439999999999998,6.5,9.93,,14.120000000000001,84.765,147.63,224.105,,26.04,37.75,6.0,,145.89499999999998,,47551,6.207,51.758
13.649999999999999,3.7,9.66,,147.9,,3.8,9.0,,53.975,24.95,44.27,10.69,83.32999999999998,20.544999999999998,9.75,4.68,41.825,31.04,4.56,51.12,106.76,22.56,11.085,3.92,,22.52,,13.5,22.839999999999996,27.97,8.36,,5.8,13.15,19.515,6.0,17.88,11.61,,2.34,55.76,,9.84,10.25,43.67,26.58,,35.510000000000005,15.690000000000001,80.985,,29.855,21.650000000000002,,10.440000000000001,12.55,97.88,18.315,,53.355000000000004,4.07,14.0,,,,,52078,6.161,50.757
3.24,9.945,24.92,48.455000000000005,5.2,52.885,33.66,400.215,25.0,7.82,95.43,,91.50999999999999,74.765,18.03,139.19,96.30999999999999,10.26,63.506,33.12,405.18,99.16,24.699999999999996,3.8,,36.019999999999996,139.85999999999999,24.24,34.185,,60.589999999999996,25.62,,10.26,56.395,49.75,33.58,97.14999999999999,,,37.865,39.96,21.66,15.725,19.35,50.684999999999995,20.21,5.1,18.1,8.205,38.14,26.759999999999998,67.24,53.245,23.39,10.0,42.825,9.225,173.38000000000002,26.240000000000002,12.0,31.96,29.05,50.84,12.84,14.040000000000001,,52477,6.176,50.869
,,,,,,,23.2,,,24.950000000000003,39.3,,33.0,,,,,,,2.3,6.5,,8.96,,,,,19.36,14.84,16.4,,,,9.2,,,,,,,,6.72,,,,,,29.16,15.18,,,52.6,,,,,,,24.08,,,,,,,,54617,6.165,50.145
24.33,34.379999999999995,81.28999999999999,124.448,9.945,10.6,74.13,347.6299999999999,42.09,10.89,326.52099999999996,417.4,24.25,358.5849999999999,21.13,654.32,60.72999999999999,53.79,77.835,166.746,136.79999999999998,527.0690000000001,39.07,116.13,79.035,83.52,369.51,11.44,329.08,41.370000000000005,119.79500000000002,517.605,,57.84,74.33500000000001,90.20500000000001,117.82000000000001,64.28399999999999,15.84,,333.29999999999995,47.529999999999994,38.1,48.96,51.985,88.15,46.676,164.09500000000003,26.411999999999995,148.91500000000002,49.56,142.0,98.157,68.57,134.42,53.375,42.762,56.589999999999996,102.59,36.23,102.49499999999999,74.59,62.260000000000005,26.895,17.635,73.23,,41844,6.25,51.143
68.37,7.4,37.275,60.720000000000006,26.955000000000002,34.02,28.755000000000003,358.77,5.4,4.32,268.03000000000003,40.25,189.38,140.12099999999998,47.39,38.95,32.05,67.39,42.989999999999995,38.3,242.86299999999997,647.725,6.0,48.47,17.220000000000002,78.8,1273.705,,15.379999999999999,196.2,24.380000000000003,105.63999999999999,27.99,62.85,,5.75,22.75,19.88,,14.73,26.439999999999998,93.27,38.83,2.585,8.775,20.285,,9.440000000000001,,119.32000000000002,9.65,5.32,34.940000000000005,9.07,223.495,68.0,163.72500000000002,30.1,14.585,25.209999999999997,15.12,7.28,16.17,6.36,,28.805,,52499,6.185,50.918
338.978,85.755,14.25,67.745,35.65,83.185,34.56,887.4409999999999,30.14,8.676,103.565,71.42999999999999,44.300000000000004,463.12100000000004,380.62,104.20499999999998,123.23,36.61,70.205,8.46,117.3,1237.7300000000002,59.82000000000001,,25.46,53.262,440.16499999999996,,442.005,32.44,50.68000000000001,247.40000000000003,,54.155,38.76,60.684999999999995,97.11,31.74,,25.724999999999998,74.29,215.95000000000002,,127.641,45.38,35.54,37.550000000000004,61.144999999999996,55.980000000000004,92.47999999999999,83.585,42.21,139.57,5.64,49.260000000000005,188.54000000000002,6.6,40.89,98.07,61.89,55.19,90.22999999999999,16.95,32.23500000000001,23.01,44.0,,41836,6.231,51.043
